escala,versao,threads,schedule,chunk,arquivos,bytes,repeticao,tempo_s
forte,sequencial,1,none,0,1024,105775104,1,0.217573
forte,sequencial,1,none,0,1024,105775104,2,0.210342
forte,sequencial,1,none,0,1024,105775104,3,0.224313
forte,sequencial,1,none,0,1024,105775104,4,0.212634
forte,sequencial,1,none,0,1024,105775104,5,0.214910
forte,sequencial,1,none,0,1024,105775104,6,0.211996
forte,sequencial,1,none,0,1024,105775104,7,0.218697
forte,sequencial,1,none,0,1024,105775104,8,0.222058
forte,sequencial,1,none,0,1024,105775104,9,0.211038
forte,sequencial,1,none,0,1024,105775104,10,0.213290
forte,sequencial,1,none,0,1024,105775104,11,0.217909
forte,sequencial,1,none,0,1024,105775104,12,0.218193
forte,sequencial,1,none,0,1024,105775104,13,0.211236
forte,sequencial,1,none,0,1024,105775104,14,0.219180
forte,sequencial,1,none,0,1024,105775104,15,0.216781
forte,openmp,1,static,1,1024,105775104,1,0.219599
forte,openmp,1,static,1,1024,105775104,2,0.219888
forte,openmp,1,static,1,1024,105775104,3,0.220655
forte,openmp,1,static,1,1024,105775104,4,0.220337
forte,openmp,1,static,1,1024,105775104,5,0.211172
forte,openmp,1,static,1,1024,105775104,6,0.191731
forte,openmp,1,static,1,1024,105775104,7,0.209417
forte,openmp,1,static,1,1024,105775104,8,0.209505
forte,openmp,1,static,1,1024,105775104,9,0.209577
forte,openmp,1,static,1,1024,105775104,10,0.208069
forte,openmp,1,static,1,1024,105775104,11,0.210332
forte,openmp,1,static,1,1024,105775104,12,0.210810
forte,openmp,1,static,1,1024,105775104,13,0.174050
forte,openmp,1,static,1,1024,105775104,14,0.209847
forte,openmp,1,static,1,1024,105775104,15,0.174535
forte,openmp,1,static,4,1024,105775104,1,0.210039
forte,openmp,1,static,4,1024,105775104,2,0.172640
forte,openmp,1,static,4,1024,105775104,3,0.209277
forte,openmp,1,static,4,1024,105775104,4,0.208088
forte,openmp,1,static,4,1024,105775104,5,0.212993
forte,openmp,1,static,4,1024,105775104,6,0.209420
forte,openmp,1,static,4,1024,105775104,7,0.222677
forte,openmp,1,static,4,1024,105775104,8,0.219339
forte,openmp,1,static,4,1024,105775104,9,0.222137
forte,openmp,1,static,4,1024,105775104,10,0.217736
forte,openmp,1,static,4,1024,105775104,11,0.172885
forte,openmp,1,static,4,1024,105775104,12,0.219382
forte,openmp,1,static,4,1024,105775104,13,0.219694
forte,openmp,1,static,4,1024,105775104,14,0.218762
forte,openmp,1,static,4,1024,105775104,15,0.219018
forte,openmp,1,static,16,1024,105775104,1,0.221897
forte,openmp,1,static,16,1024,105775104,2,0.206446
forte,openmp,1,static,16,1024,105775104,3,0.219438
forte,openmp,1,static,16,1024,105775104,4,0.218643
forte,openmp,1,static,16,1024,105775104,5,0.214529
forte,openmp,1,static,16,1024,105775104,6,0.224769
forte,openmp,1,static,16,1024,105775104,7,0.218076
forte,openmp,1,static,16,1024,105775104,8,0.204751
forte,openmp,1,static,16,1024,105775104,9,0.208914
forte,openmp,1,static,16,1024,105775104,10,0.216301
forte,openmp,1,static,16,1024,105775104,11,0.220954
